agence_cat,ark_bnf,authnumber,type_autorite,type_entite,za001,za100,za152,za2XX,za801
BnF,BnF,3614,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3637,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3658,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3678,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3701,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3724,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3747,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3774,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3797,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3818,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3840,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3862,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3882,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3903,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3924,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,3944,nom_geographique,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3966,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,3986,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4009,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4031,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4054,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4075,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4097,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4118,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4141,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4161,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4183,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4205,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4226,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4248,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4275,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
